id,word,translation,transcription,audioText,category,difficulty,mnemonic_short,mnemonic_full,example_en,example_ru,work_example_en,work_example_ru,image,status,review_stage,error_count,created_at
"basic-hello","hello","привет","/həˈləʊ/","hello","Basic A1","easy","Hello звучит как дружелюбное «хеллоу» при встрече.","Hello звучит как дружелюбное «хеллоу» при встрече.","Hello, I am Alex.","Привет, я Алекс.","Hello, the homepage draft is ready.","Привет, черновик главной страницы готов.","👋","new","0","0","2026-01-01"
"basic-today","today","сегодня","/təˈdeɪ/","today","Basic A1","easy","Today похоже на «ту дей» — день, который сейчас.","Основной крючок: Today звучит как «ту дей» — «тот день», который идёт прямо сейчас.

Образ: Представь календарь, где ярко подсвечена только сегодняшняя дата.

Формула: Today = сегодня, день, который сейчас.","Today is Monday.","Сегодня понедельник.","Today I will update the contact page.","Сегодня я обновлю страницу контактов.","📅","new","0","0","2026-01-02"
"basic-help","help","помощь; помочь","/help/","help","Basic A1","easy","Help легко запомнить как «хелп» — когда нужна помощь.","Help легко запомнить как «хелп» — когда нужна помощь.","Can you help me?","Ты можешь мне помочь?","This guide will help the client use the CMS.","Этот гид поможет клиенту пользоваться CMS.","🆘","new","0","0","2026-01-03"
"basic-page","page","страница","/peɪdʒ/","page","Basic A1","easy","Page похоже на «пейдж» — страница в книге или на сайте.","Page похоже на «пейдж» — страница в книге или на сайте.","Open the first page.","Открой первую страницу.","The services page needs a new headline.","Странице услуг нужен новый заголовок.","📄","new","0","0","2026-01-04"
"basic-text","text","текст","/tekst/","text","Basic A1","easy","Text почти как русское «текст».","Text почти как русское «текст».","The text is short.","Текст короткий.","Please check the hero text before publish.","Проверь текст в hero-блоке перед публикацией.","📝","new","0","0","2026-01-05"
"basic-image","image","изображение","/ˈɪmɪdʒ/","image","Basic A1","easy","Image похоже на «имидж», то есть визуальный образ.","Image похоже на «имидж», то есть визуальный образ.","This image is big.","Это изображение большое.","The image on the about page loads slowly.","Изображение на странице about загружается медленно.","🖼️","new","0","0","2026-01-06"
"basic-color","color","цвет","/ˈkʌlər/","color","Basic A1","easy","Color — это цвет, как в палитре дизайна.","Color — это цвет, как в палитре дизайна.","My favorite color is blue.","Мой любимый цвет — синий.","The button color is too dark on mobile.","Цвет кнопки слишком тёмный на мобильной версии.","🎨","new","0","0","2026-01-07"
"basic-button","button","кнопка","/ˈbʌtn/","button","Basic A1","easy","Button — это «баттон», знакомое слово из интерфейсов.","Button — это «баттон», знакомое слово из интерфейсов.","Click the green button.","Нажми зелёную кнопку.","The submit button is below the form.","Кнопка отправки находится под формой.","🔘","new","0","0","2026-01-08"
"basic-menu","menu","меню","/ˈmenjuː/","menu","Basic A1","easy","Menu почти как русское «меню».","Menu почти как русское «меню».","The menu is open.","Меню открыто.","The mobile menu covers the logo.","Мобильное меню перекрывает логотип.","📋","new","0","0","2026-01-09"
"basic-form","form","форма","/fɔːm/","form","Basic A1","easy","Form — это форма, особенно контактная форма на сайте.","Form — это форма, особенно контактная форма на сайте.","The form is simple.","Форма простая.","The contact form does not send data.","Контактная форма не отправляет данные.","🧾","new","0","0","2026-01-10"
"basic-link","link","ссылка","/lɪŋk/","link","Basic A1","easy","Link — это линк, то есть ссылка.","Link — это линк, то есть ссылка.","This link is new.","Эта ссылка новая.","Please send me the Webflow link.","Пожалуйста, пришлите мне ссылку на Webflow.","🔗","new","0","0","2026-01-11"
"basic-client","client","клиент","/ˈklaɪənt/","client","Basic A1","easy","Client почти как «клиент». Представь человека, который присылает тебе задачу и правки: client = клиент.","Client почти как «клиент». Представь человека, который присылает тебе задачу и правки: client = клиент.","The client is happy.","Клиент доволен.","The client wants a cleaner landing page.","Клиент хочет более чистую landing page.","🤝","new","0","0","2026-01-12"
